,Value
Total Return,0.09488608546547028
Annual Return,0.11377390319142155
Annual Volatility,0.09845698314779024
Sharpe Ratio,1.1432587922509052
Max Drawdown,-0.051410363579581064
Calmar Ratio,2.2130538527568353
Sortino Ratio,1.1524716677612852
Beta,-0.0020717081436676323
Alpha,0.1153783639907388
