,Value
Total Return,17.780420942997683
Annual Return,0.5676153303001872
Annual Volatility,0.4411833297763291
Sharpe Ratio,1.2378452855575142
Max Drawdown,-0.4604097705941016
Calmar Ratio,1.232848142140316
Sortino Ratio,1.060300487148831
Beta,0.3309926071649734
Alpha,0.4452016112482021
